Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XTZ,2019-09-12,0.9791,1.016,1.023,0.95
XTZ,2019-09-13,1,0.9791,1.016,0.9577
XTZ,2019-09-14,1.006,1,1.019,0.9863
XTZ,2019-09-15,1,1.006,1.01,0.9708
XTZ,2019-09-16,1.105,1,1.121,0.9944
XTZ,2019-09-17,1.085,1.105,1.16,1.085
XTZ,2019-09-18,1.095,1.085,1.125,1.028
XTZ,2019-09-19,1.06,1.095,1.112,1.036
XTZ,2019-09-20,1.067,1.06,1.072,1.048
XTZ,2019-09-21,1.05,1.067,1.074,1.041
XTZ,2019-09-22,1.05,1.05,1.16,1.002
XTZ,2019-09-23,0.8969,1.05,1.098,0.838
XTZ,2019-09-24,0.8481,0.8969,0.92,0.8128
XTZ,2019-09-25,0.8466,0.8481,0.9176,0.81
XTZ,2019-09-26,0.892,0.8466,0.8965,0.761
XTZ,2019-09-27,0.89,0.892,0.9172,0.8613
XTZ,2019-09-28,0.88,0.89,0.9062,0.8421
XTZ,2019-09-29,0.9,0.88,0.9251,0.8323
XTZ,2019-09-30,0.95,0.9,0.993,0.8999
XTZ,2019-10-01,0.9479,0.95,0.95,0.8872
XTZ,2019-10-02,0.9345,0.9479,0.966,0.9101
XTZ,2019-10-03,0.922,0.9345,0.9345,0.8881
XTZ,2019-10-04,0.9124,0.922,0.9232,0.9005
XTZ,2019-10-05,0.8649,0.9124,0.9161,0.8621
XTZ,2019-10-06,0.9021,0.8649,0.9241,0.8587
XTZ,2019-10-07,0.8993,0.9021,0.9123,0.8857
XTZ,2019-10-08,0.9457,0.8993,0.96,0.8923
XTZ,2019-10-09,0.9155,0.9457,0.9498,0.9155
XTZ,2019-10-10,0.9018,0.9155,0.9242,0.8799
XTZ,2019-10-11,0.8896,0.9018,0.9141,0.8841
XTZ,2019-10-12,0.9041,0.8896,0.955,0.8867
XTZ,2019-10-13,0.9363,0.9041,0.9389,0.9016
XTZ,2019-10-14,0.9048,0.9363,0.9389,0.9
XTZ,2019-10-15,0.8737,0.9048,0.9103,0.8431
XTZ,2019-10-16,0.8923,0.8737,0.8971,0.8673
XTZ,2019-10-17,0.8757,0.8923,0.8977,0.8613
XTZ,2019-10-18,0.8641,0.8757,0.8863,0.82
XTZ,2019-10-19,0.881,0.8641,0.8844,0.8298
XTZ,2019-10-20,0.8696,0.881,0.8881,0.847
XTZ,2019-10-21,0.8385,0.8696,0.9193,0.801
XTZ,2019-10-22,0.7629,0.8385,0.8385,0.7505
XTZ,2019-10-23,0.7617,0.7629,0.7783,0.75
XTZ,2019-10-24,0.8395,0.7617,0.8449,0.7617
XTZ,2019-10-25,0.8314,0.8395,0.936,0.8157
XTZ,2019-10-26,0.8618,0.8314,0.8745,0.8111
XTZ,2019-10-27,0.8531,0.8618,0.89,0.8513
XTZ,2019-10-28,0.8546,0.8531,0.868,0.8317
XTZ,2019-10-29,0.8789,0.8546,0.9214,0.8128
XTZ,2019-10-30,0.8901,0.8789,0.9253,0.8658
XTZ,2019-10-31,0.878,0.8901,0.8901,0.8638
XTZ,2019-11-01,0.863,0.878,0.8801,0.8574
XTZ,2019-11-02,0.8667,0.863,0.868,0.85
XTZ,2019-11-03,0.8876,0.8667,0.9088,0.8661
XTZ,2019-11-04,0.9228,0.8876,0.9309,0.8801
XTZ,2019-11-05,1.016,0.9228,1.044,0.9026
XTZ,2019-11-06,1.21,1.016,1.306,1.016
XTZ,2019-11-07,1.165,1.21,1.299,1.121
XTZ,2019-11-08,1.26,1.165,1.27,1.15
XTZ,2019-11-09,1.223,1.26,1.26,1.183
XTZ,2019-11-10,1.175,1.223,1.242,1.17
XTZ,2019-11-11,1.17,1.175,1.196,1.139
XTZ,2019-11-12,1.128,1.17,1.17,1.11
XTZ,2019-11-13,1.218,1.128,1.292,1.095
XTZ,2019-11-14,1.17,1.218,1.26,1.131
XTZ,2019-11-15,1.152,1.17,1.173,1.147
XTZ,2019-11-16,1.153,1.152,1.17,1.147
XTZ,2019-11-17,1.214,1.153,1.253,1.153
XTZ,2019-11-18,1.202,1.214,1.234,1.148
XTZ,2019-11-19,1.209,1.202,1.241,1.16
XTZ,2019-11-20,1.215,1.209,1.293,1.175
XTZ,2019-11-21,1.22,1.215,1.275,1.08
XTZ,2019-11-22,1.382,1.22,1.43,1.22
XTZ,2019-11-23,1.312,1.382,1.426,1.283
XTZ,2019-11-24,1.239,1.312,1.318,1.205
XTZ,2019-11-25,1.237,1.239,1.277,1.22
XTZ,2019-11-26,1.264,1.237,1.274,1.154
XTZ,2019-11-27,1.278,1.264,1.345,1.214
XTZ,2019-11-28,1.312,1.278,1.34,1.266
XTZ,2019-11-29,1.334,1.312,1.355,1.312
XTZ,2019-11-30,1.269,1.334,1.351,1.25
XTZ,2019-12-01,1.24,1.269,1.269,1.201
XTZ,2019-12-02,1.292,1.24,1.307,1.208
XTZ,2019-12-03,1.247,1.292,1.331,1.239
XTZ,2019-12-04,1.287,1.247,1.291,1.235
XTZ,2019-12-05,1.375,1.287,1.421,1.271
XTZ,2019-12-06,1.44,1.375,1.468,1.361
XTZ,2019-12-07,1.603,1.44,1.624,1.44
XTZ,2019-12-08,1.554,1.603,1.651,1.531
XTZ,2019-12-09,1.489,1.554,1.554,1.38
XTZ,2019-12-10,1.577,1.489,1.601,1.47
XTZ,2019-12-11,1.763,1.577,1.778,1.513
XTZ,2019-12-12,1.763,1.763,1.848,1.664
XTZ,2019-12-13,1.656,1.763,1.777,1.63
XTZ,2019-12-14,1.678,1.656,1.738,1.601
XTZ,2019-12-15,1.662,1.678,1.708,1.585
XTZ,2019-12-16,1.536,1.662,1.759,1.516
XTZ,2019-12-17,1.579,1.536,1.648,1.43
XTZ,2019-12-18,1.506,1.579,1.61,1.46
XTZ,2019-12-19,1.599,1.506,1.599,1.48
XTZ,2019-12-20,1.472,1.599,1.61,1.468
XTZ,2019-12-21,1.468,1.472,1.525,1.447
XTZ,2019-12-22,1.514,1.468,1.574,1.462
XTZ,2019-12-23,1.484,1.514,1.515,1.474
XTZ,2019-12-24,1.4,1.484,1.487,1.393
XTZ,2019-12-25,1.366,1.4,1.427,1.348
XTZ,2019-12-26,1.376,1.366,1.403,1.352
XTZ,2019-12-27,1.325,1.376,1.383,1.322
XTZ,2019-12-28,1.309,1.325,1.337,1.28
XTZ,2019-12-29,1.316,1.309,1.349,1.289
XTZ,2019-12-30,1.346,1.316,1.39,1.302
XTZ,2019-12-31,1.369,1.346,1.37,1.315
XTZ,2020-01-01,1.23,1.369,1.374,1.225
XTZ,2020-01-02,1.277,1.23,1.304,1.227
XTZ,2020-01-03,1.254,1.277,1.28,1.228
XTZ,2020-01-04,1.248,1.254,1.28,1.24
XTZ,2020-01-05,1.301,1.248,1.342,1.248
XTZ,2020-01-06,1.301,1.301,1.329,1.254
XTZ,2020-01-07,1.329,1.301,1.399,1.279
XTZ,2020-01-08,1.28,1.329,1.363,1.262
XTZ,2020-01-09,1.303,1.28,1.338,1.254
XTZ,2020-01-10,1.31,1.303,1.355,1.298
XTZ,2020-01-11,1.308,1.31,1.318,1.297
XTZ,2020-01-12,1.275,1.308,1.308,1.262
XTZ,2020-01-13,1.326,1.275,1.347,1.273
XTZ,2020-01-14,1.345,1.326,1.397,1.285
XTZ,2020-01-15,1.49,1.345,1.532,1.296
XTZ,2020-01-16,1.474,1.49,1.539,1.42
XTZ,2020-01-17,1.482,1.474,1.546,1.417
XTZ,2020-01-18,1.426,1.482,1.52,1.36
XTZ,2020-01-19,1.586,1.426,1.587,1.409
XTZ,2020-01-20,1.532,1.586,1.611,1.5
XTZ,2020-01-21,1.588,1.532,1.638,1.529
XTZ,2020-01-22,1.553,1.588,1.617,1.49
XTZ,2020-01-23,1.502,1.553,1.56,1.496
XTZ,2020-01-24,1.494,1.502,1.509,1.46
XTZ,2020-01-25,1.521,1.494,1.527,1.467
XTZ,2020-01-26,1.523,1.521,1.548,1.482
XTZ,2020-01-27,1.55,1.523,1.571,1.51
XTZ,2020-01-28,1.561,1.55,1.68,1.546
XTZ,2020-01-29,1.678,1.561,1.701,1.557
XTZ,2020-01-30,1.661,1.678,1.723,1.644
XTZ,2020-01-31,1.748,1.661,1.75,1.65
XTZ,2020-02-01,1.925,1.748,1.99,1.699
XTZ,2020-02-02,2.01,1.925,2.088,1.261
XTZ,2020-02-03,1.923,2.01,2.034,1.881
XTZ,2020-02-04,2.15,1.923,2.231,1.909
XTZ,2020-02-05,2.158,2.15,2.247,2.131
XTZ,2020-02-06,2.19,2.158,2.252,2.157
XTZ,2020-02-07,2.291,2.19,2.315,2.015
XTZ,2020-02-08,2.648,2.291,2.756,2.285
XTZ,2020-02-09,2.628,2.648,2.736,2.462
XTZ,2020-02-10,2.928,2.628,2.95,2.558
XTZ,2020-02-11,3.356,2.928,3.61,2.928
XTZ,2020-02-12,3.135,3.356,3.395,2.916
XTZ,2020-02-13,3.482,3.135,3.547,3.038
XTZ,2020-02-14,3.185,3.482,3.551,3.02
XTZ,2020-02-15,3.221,3.185,3.299,2.76
XTZ,2020-02-16,3.164,3.221,3.257,2.76
XTZ,2020-02-17,3.45,3.164,3.561,3.09
XTZ,2020-02-18,3.55,3.45,3.94,3.36
XTZ,2020-02-19,3.61,3.55,3.875,3.458
XTZ,2020-02-20,3.482,3.61,3.751,3.39
XTZ,2020-02-21,3.309,3.482,3.54,3.25
XTZ,2020-02-22,3.535,3.309,3.59,3.309
XTZ,2020-02-23,3.19,3.535,3.535,2.96
XTZ,2020-02-24,2.8,3.19,3.193,2.712
XTZ,2020-02-25,2.767,2.8,2.985,2.522
XTZ,2020-02-26,2.801,2.767,2.985,2.519
XTZ,2020-02-27,2.782,2.801,2.907,2.617
XTZ,2020-02-28,2.738,2.782,2.995,2.738
XTZ,2020-02-29,2.606,2.738,2.847,2.569
XTZ,2020-03-01,2.8,2.606,2.897,2.549
XTZ,2020-03-02,2.763,2.8,2.829,2.647
XTZ,2020-03-03,3.098,2.763,3.107,2.731
XTZ,2020-03-04,3.089,3.098,3.33,3.03
XTZ,2020-03-05,3.175,3.089,3.234,3.042
XTZ,2020-03-06,2.991,3.175,3.263,2.99
XTZ,2020-03-07,2.582,2.991,2.994,2.564
XTZ,2020-03-08,2.54,2.582,2.668,2.269
XTZ,2020-03-09,2.589,2.54,2.761,2.475
XTZ,2020-03-10,2.513,2.589,2.675,2.293
XTZ,2020-03-11,1.419,2.513,2.521,1.317
XTZ,2020-03-12,1.777,1.419,1.949,1.01
XTZ,2020-03-13,1.589,1.777,1.84,1.538
XTZ,2020-03-14,1.535,1.589,1.756,1.42
XTZ,2020-03-15,1.325,1.535,1.535,1.133
XTZ,2020-03-16,1.371,1.325,1.488,1.292
XTZ,2020-03-17,1.408,1.371,1.423,1.289
XTZ,2020-03-18,1.64,1.408,1.748,1.361
XTZ,2020-03-19,1.689,1.64,1.88,1.49
XTZ,2020-03-20,1.649,1.689,1.759,1.58
XTZ,2020-03-21,1.475,1.649,1.719,1.458
XTZ,2020-03-22,1.685,1.475,1.69,1.446
XTZ,2020-03-23,1.766,1.685,1.788,1.634
XTZ,2020-03-24,1.719,1.766,1.795,1.655
XTZ,2020-03-25,1.762,1.719,1.768,1.701
XTZ,2020-03-26,1.59,1.762,1.789,1.58
XTZ,2020-03-27,1.568,1.59,1.611,1.51
XTZ,2020-03-28,1.472,1.568,1.59,1.472
XTZ,2020-03-29,1.607,1.472,1.667,1.465
XTZ,2020-03-30,1.615,1.607,1.637,1.554
XTZ,2020-03-31,1.609,1.615,1.63,1.504
XTZ,2020-04-01,1.669,1.609,1.8,1.601
XTZ,2020-04-02,1.678,1.669,1.779,1.652
XTZ,2020-04-03,1.699,1.678,1.733,1.659
XTZ,2020-04-04,1.668,1.699,1.709,1.666
XTZ,2020-04-05,1.91,1.668,1.915,1.662
XTZ,2020-04-06,1.957,1.91,2.1,1.835
XTZ,2020-04-07,2.151,1.957,2.178,1.925
XTZ,2020-04-08,2.104,2.151,2.183,1.99
XTZ,2020-04-09,1.913,2.104,2.113,1.823
XTZ,2020-04-10,1.974,1.913,2.045,1.896
XTZ,2020-04-11,2.008,1.974,2.065,1.894
XTZ,2020-04-12,1.94,2.008,2.008,1.89
XTZ,2020-04-13,1.945,1.94,1.999,1.91
XTZ,2020-04-14,1.897,1.945,1.981,1.89
XTZ,2020-04-15,2.114,1.897,2.14,1.84
XTZ,2020-04-16,2.095,2.114,2.165,2.071
XTZ,2020-04-17,2.335,2.095,2.377,2.093
XTZ,2020-04-18,2.252,2.335,2.373,2.214
XTZ,2020-04-19,2.129,2.252,2.354,2.06
XTZ,2020-04-20,2.151,2.129,2.21,2.082
XTZ,2020-04-21,2.334,2.151,2.346,2.143
XTZ,2020-04-22,2.498,2.334,2.586,2.306
XTZ,2020-04-23,2.712,2.498,2.768,2.498
XTZ,2020-04-24,2.86,2.712,2.886,2.643
XTZ,2020-04-25,2.768,2.86,2.86,2.732
XTZ,2020-04-26,2.744,2.768,2.792,2.56
XTZ,2020-04-27,2.757,2.744,2.814,2.663
XTZ,2020-04-28,2.941,2.757,3,2.743
XTZ,2020-04-29,2.76,2.941,3.04,2.673
XTZ,2020-04-30,2.802,2.76,2.946,2.74
XTZ,2020-05-01,2.835,2.802,2.866,2.771
XTZ,2020-05-02,2.744,2.835,2.875,2.68
XTZ,2020-05-03,2.784,2.744,2.851,2.584
XTZ,2020-05-04,2.753,2.784,2.839,2.7
XTZ,2020-05-05,2.655,2.753,2.808,2.645
XTZ,2020-05-06,2.722,2.655,2.802,2.613
XTZ,2020-05-07,2.753,2.722,2.823,2.695
XTZ,2020-05-08,2.814,2.753,2.96,2.723
XTZ,2020-05-09,2.56,2.814,2.816,2.26
XTZ,2020-05-10,2.425,2.56,2.6,2.277
XTZ,2020-05-11,2.499,2.425,2.585,2.42
XTZ,2020-05-12,2.571,2.499,2.589,2.489
XTZ,2020-05-13,2.552,2.571,2.62,2.5
XTZ,2020-05-14,2.495,2.552,2.552,2.446
XTZ,2020-05-15,2.633,2.495,2.66,2.473
XTZ,2020-05-16,2.624,2.633,2.688,2.598
XTZ,2020-05-17,2.753,2.624,2.768,2.623
XTZ,2020-05-18,2.834,2.753,2.835,2.633
XTZ,2020-05-19,2.815,2.834,2.892,2.716
XTZ,2020-05-20,2.64,2.815,2.85,2.57
XTZ,2020-05-21,2.798,2.64,2.86,2.607
XTZ,2020-05-22,2.757,2.798,2.829,2.733
XTZ,2020-05-23,2.648,2.757,2.833,2.638
XTZ,2020-05-24,2.73,2.648,2.74,2.627
XTZ,2020-05-25,2.695,2.73,2.76,2.655
XTZ,2020-05-26,2.703,2.695,2.752,2.676
XTZ,2020-05-27,2.83,2.703,2.85,2.684
XTZ,2020-05-28,2.875,2.83,2.9,2.792
XTZ,2020-05-29,2.925,2.875,2.96,2.816
XTZ,2020-05-30,2.804,2.925,2.959,2.775
XTZ,2020-05-31,2.972,2.804,3,2.778
XTZ,2020-06-01,2.899,2.972,3.125,2.6
XTZ,2020-06-02,3.045,2.899,3.064,2.832
XTZ,2020-06-03,3.026,3.045,3.079,2.912
XTZ,2020-06-04,2.949,2.987,3.012,2.934
